id,titulo,rubro,Con pantalla táctil,Conexión del monitor de la computadora,Resolución de pantalla,Tamaño de la pantalla,Tipo de pantalla,Tipo de resolución,Con micrófono,Con visión nocturna,Formato de venta,Funciones,Lugares de montaje,Color,Tipo de corrector,Tipo de envase,Con compartimiento para notebook,Con puerto USB,Con ruedas,Tipo de mochila,Capacidad,Incluye adaptador SD,Incluye adaptador USB,Resolución máxima de video,Velocidad de lectura,Forma del glitter,Peso neto,Tipo,Usos recomendados,Graduación,Unidad por envase,Tamaño de papel,Tipo de papel,Con bluetooth,Con WiFi,Funciones de la impresora,Tipo de impresión,Tipo de impresora,Resolución de imagen de la cámara,Capacidad de hojas,Potencia,Tipo de trituradora,Voltaje,Color de la tinta,Con grip,Grosor del trazo,Tipo de lapicera,Tipo de trazo,Con goma de borrar,Tipo de Lápiz,Forma de la lentejuela,Duración máxima de la batería,Es inalámbrico,Es resistente al agua,Formato del auricular,Tipo de conectores,A prueba de agua,Autonomía máxima de la batería,Con función Karaoke,Con luces LED,Con Radio,Es portátil,Incluye batería recargable,Potencia de salida (RMS),Tipo de parlante,Díametro,Con anillos,Con tapa separadas,Diseño,Tamaño de las hojas,Tipo de carpeta,Con lengueta,Tamaño del separador,Billetes por minutos,Capacidad de bandeja,Con detector de billetes falsos,Tipo detección,Con cartel,Con pie,Tamaño,Tipo de agenda por vista,Tipo de encuadernación,Formato de la tiza,Capacidad de almacenamiento,Material,Tipo de Marcador,Con compartimiento para marcadores,Es magnético,Material del mango,Superficies Recomendadas,Con GPS,Incluye cargador,Sistema operativo,Ancho x altura,Material de la superficie,Material del armazón
15,Artículo 15 de Maquina destructora,Maquina destructora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 58,Valor 17,Valor 88,Valor 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Artículo 16 de Gibre,Gibre,,,,,,,,,Valor 27,,,,,,,,,,,,,,,Valor 4,Valor 83,Valor 100,Valor 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Artículo 17 de Mochilas,Mochilas,,,,,,,,,,,,,,,Sí,No,Sí,Valor 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Artículo 18 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 95,,,,,,,,,,,,,,,,,,,,Valor 87,,,,,,,,,,,,,Valor 15,Sí,Valor 77,Valor 99,Valor 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Artículo 19 de Brillantinas,Brillantinas,,,,,,,,,Valor 37,,,,,,,,,,,,,,,,,,Valor 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Artículo 20 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 19,,,,,,,,,,,,,,,,,,,Valor 35,Valor 31,,,,,,,,,,,,,,,,,,No,Valor 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Artículo 21 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Artículo 22 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 67,,,,,,,,,,,,,,,,,,,Valor 38,Valor 54,,,,,,,,,,,,,,,,,,Sí,Valor 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Artículo 23 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 40,,,,,,,,,,,,,,,,,,,,Valor 65,,,,,,,,,,,,,Valor 98,No,Valor 25,Valor 42,Valor 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Artículo 24 de Minas,Minas,,,,,,,,,Valor 72,,,,,,,,,,,,,,,,,,,Valor 73,Valor 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Artículo 25 de Gibre,Gibre,,,,,,,,,Valor 97,,,,,,,,,,,,,,,Valor 9,Valor 3,Valor 97,Valor 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Artículo 26 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 70,,,,,,,,,,,,,,,,,,,,Valor 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Artículo 27 de Tarjetas de memoria,Tarjetas de memoria,,,,,,,,,,,,,,,,,,,Valor 23,Valor 45,Valor 16,Valor 79,Valor 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Artículo 28 de Goma eva,Goma eva,,,,,,,,,Valor 43,,,,,,,,,,,,,,,,,Valor 84,Valor 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Artículo 29 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Valor 80,No,Sí,Valor 79,Valor 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Artículo 30 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 80,,,,,,,,,,,,,,,,,,,,Valor 73,,,,,,,,,,,,,Valor 25,No,Valor 22,Valor 20,Valor 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Artículo 31 de Parlantes,Parlantes,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,,No,,,,Valor 99,Valor 65,No,Sí,Sí,No,Valor 86,Valor 22,Valor 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Artículo 32 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Artículo 33 de Goma eva,Goma eva,,,,,,,,,Valor 51,,,,,,,,,,,,,,,,,Valor 93,Valor 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Artículo 34 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,Valor 87,Valor 71,Valor 1,,,,,,,,,,,,,,,,,,,,,,,,,
35,Artículo 35 de Separadores,Separadores,,,,,,,,,Valor 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 12,,,,,,,,,,,,,,,,,,,,,,,
36,Artículo 36 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Artículo 37 de Maquina destructora,Maquina destructora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 47,Valor 15,Valor 79,Valor 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Artículo 38 de Camara web,Camara web,,,,,,,Sí,,Valor 37,Valor 50,,,,,,,,,,,,Valor 27,,,,,,,,,,,,,,,Valor 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Artículo 39 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 90,,,,,,,,,,,,,,,,,,,,Valor 44,,,,,,,,,,,,,Valor 41,No,Valor 65,Valor 97,Valor 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Artículo 40 de Correctores,Correctores,,,,,,,,,Valor 38,,,,Valor 44,Valor 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Artículo 41 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,No,Valor 84,Sí,Valor 16,,,,,,,,,,,,,,,,,,,
42,Artículo 42 de Camara de seguridad,Camara de seguridad,,,,,,Valor 58,Sí,Sí,Valor 13,Valor 62,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Artículo 43 de Maquina destructora,Maquina destructora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 13,Valor 14,Valor 90,Valor 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Artículo 44 de Gibre,Gibre,,,,,,,,,Valor 89,,,,,,,,,,,,,,,Valor 100,Valor 20,Valor 47,Valor 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Artículo 45 de Goma eva,Goma eva,,,,,,,,,Valor 58,,,,,,,,,,,,,,,,,Valor 7,Valor 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Artículo 46 de Gibre,Gibre,,,,,,,,,Valor 37,,,,,,,,,,,,,,,Valor 75,Valor 12,Valor 55,Valor 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Artículo 47 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 31,,,,,,,,,,,,,,,,,,,,Valor 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Artículo 48 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 84,,,,,,,,,,,,,,,,,,,,Valor 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Artículo 49 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Artículo 50 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,Valor 85,Valor 82,Valor 10,,,,,,,,,,,,,,,,,,,,,,,,,
51,Artículo 51 de Goma eva,Goma eva,,,,,,,,,Valor 63,,,,,,,,,,,,,,,,,Valor 21,Valor 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Artículo 52 de Impresoras,Impresoras,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,Valor 12,Valor 97,Sí,No,Sí,Valor 81,Valor 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Artículo 53 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 96,,,,,,,,,,,,,,,,,,,,Valor 50,,,,,,,,,,,,,Valor 85,No,Valor 10,Valor 96,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Artículo 54 de Separadores,Separadores,,,,,,,,,Valor 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 12,,,,,,,,,,,,,,,,,,,,,,,
55,Artículo 55 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 44,,,,,,,,,,,,,,,,,,,,Valor 64,,,,,,,,,,,,,Valor 41,Sí,Valor 62,Valor 59,Valor 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Artículo 56 de Minas,Minas,,,,,,,,,Valor 36,,,,,,,,,,,,,,,,,,,Valor 39,Valor 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Artículo 57 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 59,,,,,,,,,,,,,,,,,,,,Valor 85,,,,,,,,,,,,,Valor 84,Sí,Valor 68,Valor 2,Valor 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Artículo 58 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,Valor 57,Sí,No,Valor 35,Valor 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Artículo 59 de Minas,Minas,,,,,,,,,Valor 18,,,,,,,,,,,,,,,,,,,Valor 29,Valor 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Artículo 60 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 2,,,,,,,,,,,,,,,,,,,Valor 64,Valor 74,,,,,,,,,,,,,,,,,,No,Valor 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Artículo 61 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 43,,,,,,,,,,,,,,,,,,,,Valor 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Artículo 62 de Minas,Minas,,,,,,,,,Valor 25,,,,,,,,,,,,,,,,,,,Valor 10,Valor 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Artículo 63 de Camara web,Camara web,,,,,,,No,,Valor 82,Valor 4,,,,,,,,,,,,Valor 40,,,,,,,,,,,,,,,Valor 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Artículo 64 de Maquina expendedora de numeros,Maquina expendedora de numeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,,,,,,,,,,,,,,,,,
65,Artículo 65 de Agendas,Agendas,,,,,,,,,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 47,Valor 26,Valor 48,,,,,,,,,,,,,,
66,Artículo 66 de Tizas,Tizas,,,,,,,,,Valor 80,,,,,,,,,,,,,,,,,,Valor 46,,Valor 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 90,,,,,,,,,,,,,
67,Artículo 67 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Valor 15,Valor 35,Valor 60,,,,,,,,,,,,,,,,,,,,,,,,,
68,Artículo 68 de Camara web,Camara web,,,,,,,Sí,,Valor 65,Valor 70,,,,,,,,,,,,Valor 79,,,,,,,,,,,,,,,Valor 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Artículo 69 de Pendrive,Pendrive,,,,,,,,,,,,Valor 91,,,,,,,,,,,Valor 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 21,Valor 1,,,,,,,,,,,
70,Artículo 70 de Separadores,Separadores,,,,,,,,,Valor 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 50,,,,,,,,,,,,,,,,,,,,,,,
71,Artículo 71 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,Valor 72,Valor 22,Valor 20,,,,,,,,,,,,,,,,,,,,,,,,,
72,Artículo 72 de Microfibras,Microfibras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 43,,,,,,,,,,
73,Artículo 73 de Camara de seguridad,Camara de seguridad,,,,,,Valor 54,Sí,No,Valor 1,Valor 63,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Artículo 74 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 7,,,,,,,,,,,,,,,,,,,,Valor 40,,,,,,,,,,,,,Valor 39,No,Valor 42,Valor 43,Valor 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Artículo 75 de Brillantinas,Brillantinas,,,,,,,,,Valor 49,,,,,,,,,,,,,,,,,,Valor 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Artículo 76 de Goma eva,Goma eva,,,,,,,,,Valor 82,,,,,,,,,,,,,,,,,Valor 28,Valor 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Artículo 77 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 79,,,,,,,,,,,,,,,,,,,,Valor 72,,,,,,,,,,,,,Valor 9,Sí,Valor 1,Valor 20,Valor 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Artículo 78 de Mochilas,Mochilas,,,,,,,,,,,,,,,Sí,No,No,Valor 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Artículo 79 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 5,,,,,,,,,,,,,,,,,,,,Valor 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Artículo 80 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Valor 41,Sí,Sí,Valor 24,Valor 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Artículo 81 de Camara de seguridad,Camara de seguridad,,,,,,Valor 41,Sí,No,Valor 77,Valor 30,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Artículo 82 de Microfibras,Microfibras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 20,,,,,,,,,,
83,Artículo 83 de Brillantinas,Brillantinas,,,,,,,,,Valor 93,,,,,,,,,,,,,,,,,,Valor 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Artículo 84 de Gibre,Gibre,,,,,,,,,Valor 45,,,,,,,,,,,,,,,Valor 12,Valor 90,Valor 100,Valor 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Artículo 85 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Artículo 86 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,Valor 100,Valor 97,Valor 93,,,,,,,,,,,,,,,,,,,,,,,,,
87,Artículo 87 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Artículo 88 de Camara de seguridad,Camara de seguridad,,,,,,Valor 14,No,Sí,Valor 96,Valor 66,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Artículo 89 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,Valor 9,Valor 22,Valor 37,,,,,,,,,,,,,,,,,,,,,,,,,
